date,district_code,Record_Count
2014-01-21,440304,2
2014-01-21,440305,5
2014-01-21,440306,7
2014-01-21,440307,1
2014-01-22,440303,2
2014-01-22,440304,1
2014-01-22,440305,1
2014-01-22,440306,5
2014-01-22,440307,1
2014-01-22,440310,1
2014-01-23,440303,1
2014-01-23,440304,1
2014-01-23,440305,3
2014-01-23,440306,5
2014-01-23,440307,2
2014-01-24,440304,2
2014-01-24,440305,2
2014-01-24,440306,1
2014-01-24,440311,1
2014-01-25,440304,4
2014-01-25,440305,2
2014-01-25,440306,3
2014-01-26,440305,3
2014-01-26,440306,6
2014-01-26,440307,3
2014-01-26,440309,1
2014-01-27,440304,4
2014-01-27,440305,3
2014-01-27,440306,7
2014-01-27,440307,1
2014-01-27,440310,1
2014-01-28,440304,2
2014-01-28,440305,3
2014-01-28,440306,5
2014-01-28,440307,1
2014-01-29,440305,2
2014-01-29,440306,4
2014-01-30,440304,2
2014-01-30,440305,1
2014-01-30,440306,3
2014-01-31,440305,3
2014-01-31,440306,3
2014-01-31,440307,2
2014-02-01,440304,1
2014-02-01,440305,2
2014-02-01,440306,2
2014-02-01,440307,1
2014-02-01,440311,1
2014-02-02,440304,2
2014-02-02,440306,2
2014-02-02,440307,1
2014-02-02,440311,2
2014-02-03,360121,1
2014-02-03,440304,2
2014-02-03,440305,2
2014-02-03,440307,1
2014-02-03,440311,2
2014-02-04,440303,2
2014-02-04,440304,1
2014-02-04,440306,1
2014-02-04,440307,1
2014-02-05,440304,1
2014-02-05,440305,1
2014-02-05,440306,2
2014-02-05,440311,1
2014-02-06,440305,1
2014-02-06,440306,4
2014-02-06,440307,2
2014-02-06,440311,2
2014-02-07,440306,6
2014-02-08,440304,2
2014-02-08,440305,1
2014-02-08,440306,6
2014-02-09,440304,1
2014-02-09,440305,1
2014-02-09,440306,8
2014-02-09,440307,1
2014-02-09,445202,1
2014-02-10,440304,1
2014-02-10,440305,1
2014-02-10,440306,5
2014-02-10,440307,1
2014-02-10,440311,2
2014-02-11,440305,1
2014-02-11,440306,7
2014-02-12,440306,11
2014-02-12,440307,1
2014-02-12,440311,1
2014-02-13,440305,2
2014-02-13,440306,13
2014-02-13,440309,1
2014-02-13,440311,1
2014-02-14,210103,1
2014-02-14,440304,3
2014-02-14,440305,1
2014-02-14,440306,8
2014-02-15,440304,2
2014-02-15,440306,6
2014-02-15,440307,1
2014-02-16,440303,1
2014-02-16,440304,1
2014-02-16,440305,1
2014-02-16,440306,4
2014-02-16,440307,1
2014-02-16,440311,1
2014-02-17,440304,2
2014-02-17,440305,2
2014-02-17,440306,5
2014-02-17,440311,1
2014-02-18,440305,1
2014-02-18,440306,8
2014-02-18,440307,1
2014-02-18,440311,1
2014-02-19,440303,1
2014-02-19,440304,2
2014-02-19,440306,9
2014-02-19,440311,2
2014-02-20,440303,1
2014-02-20,440304,3
2014-02-20,440305,1
2014-02-20,440306,11
2014-02-20,440307,2
2014-02-21,440303,1
2014-02-21,440305,6
2014-02-21,440306,6
2014-02-21,440307,1
2014-02-22,440304,1
2014-02-22,440305,2
2014-02-22,440306,8
2014-02-22,440307,1
2014-02-22,440311,2
2014-02-23,440304,1
2014-02-23,440306,6
2014-02-23,440307,5
2014-02-23,440309,1
2014-02-23,440311,2
2014-02-23,441901,1
2014-02-24,440303,1
2014-02-24,440304,2
2014-02-24,440305,1
2014-02-24,440306,9
2014-02-24,440307,1
2014-02-24,440309,1
2014-02-24,441901,1
2014-02-25,440304,1
2014-02-25,440305,1
2014-02-25,440306,2
2014-02-25,440307,1
2014-02-25,440311,1
2014-02-26,440304,1
2014-02-26,440305,4
2014-02-26,440306,10
2014-02-26,440311,1
2014-02-27,440304,1
2014-02-27,440305,2
2014-02-27,440306,7
2014-02-27,440307,1
2014-02-27,440309,2
2014-02-27,440310,1
2014-02-27,440311,2
2014-02-28,440305,4
2014-02-28,440306,9
2014-02-28,440307,1
2014-02-28,440309,1
2014-02-28,440311,2
2014-03-01,440305,4
2014-03-01,440306,10
2014-03-01,440307,3
2014-03-01,441901,1
2014-03-02,440303,1
2014-03-02,440304,1
2014-03-02,440305,3
2014-03-02,440306,9
2014-03-02,440307,4
2014-03-02,440309,1
2014-03-02,440311,1
2014-03-03,440305,1
2014-03-03,440306,4
2014-03-03,440307,2
2014-03-03,440311,1
2014-03-04,440304,1
2014-03-04,440305,1
2014-03-04,440306,13
2014-03-04,440307,1
2014-03-04,440310,2
2014-03-04,440311,2
2014-03-04,441303,1
2014-03-05,440303,2
2014-03-05,440305,3
2014-03-05,440306,7
2014-03-05,440307,2
2014-03-05,440309,1
2014-03-05,440311,1
2014-03-06,440304,1
2014-03-06,440305,1
2014-03-06,440306,7
2014-03-06,440309,1
2014-03-06,440312,1
2014-03-07,440304,2
2014-03-07,440305,1
2014-03-07,440306,6
2014-03-07,440307,2
2014-03-07,440311,3
2014-03-07,440312,1
2014-03-08,440304,1
2014-03-08,440305,2
2014-03-08,440306,3
2014-03-08,440312,1
2014-03-09,440304,1
2014-03-09,440306,3
2014-03-09,440312,4
2014-03-10,440304,1
2014-03-10,440305,2
2014-03-10,440306,4
2014-03-10,440310,1
2014-03-11,440305,1
2014-03-11,440306,4
2014-03-11,440311,1
2014-03-12,440303,1
2014-03-12,440304,1
2014-03-12,440305,1
2014-03-12,440306,4
2014-03-12,440307,1
2014-03-13,440303,1
2014-03-13,440306,4
2014-03-13,440311,1
2014-03-14,440306,5
2014-03-14,440307,1
2014-03-14,440311,1
2014-03-14,441825,1
2014-03-15,440304,1
2014-03-15,440306,5
2014-03-15,440307,1
2014-03-16,440304,1
2014-03-16,440305,1
2014-03-16,440306,6
2014-03-17,440303,1
2014-03-17,440306,6
2014-03-17,440309,1
2014-03-17,440311,1
2014-03-18,440306,4
2014-03-18,440309,1
2014-03-18,440310,1
2014-03-19,440306,3
2014-03-19,440307,1
2014-03-20,440304,2
2014-03-20,440306,7
2014-03-20,440309,2
2014-03-21,440306,6
2014-03-21,440307,1
2014-03-21,440311,1
2014-03-22,440305,1
2014-03-22,440306,4
2014-03-23,440306,4
2014-03-24,440304,1
2014-03-24,440306,3
2014-03-25,440306,1
2014-03-25,440307,1
2014-03-26,440306,3
2014-03-27,440303,1
2014-03-27,440306,3
2014-03-28,440306,3
2014-03-29,440303,1
2014-03-29,440304,1
2014-03-29,440306,4
2014-03-29,440311,1
2014-03-30,440304,1
2014-03-30,440307,2
2014-03-31,440303,1
2014-03-31,440306,6
2014-03-31,440307,1
2014-03-31,440309,1
2014-04-01,440303,1
2014-04-01,440305,1
2014-04-01,440306,2
2014-04-01,440307,1
2014-04-02,440303,1
2014-04-02,440304,1
2014-04-02,440306,6
2014-04-03,440304,1
2014-04-03,440306,1
2014-04-04,440306,3
2014-04-04,440310,2
2014-04-05,440305,1
2014-04-05,440306,1
2014-04-06,440306,2
2014-04-07,440304,1
2014-04-08,440306,2
2014-04-08,440307,1
2014-04-09,440306,1
2014-04-09,440307,2
2014-04-10,440306,5
2014-04-11,440305,1
2014-04-11,440306,3
2014-04-11,440310,1
2014-04-12,440306,1
2014-04-12,440309,1
2014-04-13,440303,1
2014-04-13,440306,3
2014-04-14,440305,3
2014-04-14,440306,2
2014-04-14,441901,1
2014-04-15,440304,1
2014-04-15,440305,1
2014-04-15,440306,4
2014-04-15,440307,1
2014-04-16,440306,4
2014-04-17,440306,3
2014-04-17,440311,1
2014-04-18,440306,1
2014-04-19,440306,3
2014-04-20,440306,3
2014-04-21,440305,1
2014-04-21,440306,5
2014-04-22,440306,3
